         NAME                     SOUNDEX CODE
         LEE                      L000
         KUHNE                    K500
         EBELL                    E140
         EBELSON                  E142
         SCHAEFER                 S160
         SCHAAK                   S200
         BPFVCSKGJ                B200
         BCDT                     B230
         BCDR                     B236
         BBBBB                    B000
         CCCCC                    C000
         LLLLLLMNR                L560
         BPFVVVVVVVVBPPPPF        B000
         CBGJQXZZZZZ              C120
         BCSDTLMRBCSM             B234
         CAC                      C200
         CCCCCCC                  C000
         BAPBAPBAP                B111
         LAMALAN                  L545
         CCAC                     C200
         ZITA                     Z300
                   END OF OUTPUT
